643142	-2.2401635	53.4775092
282357433	-2.2344090	53.4798102	
282357685	-2.2347376	53.4800830	
282358049	-2.2341773	53.4803342	
282358050	-2.2338424	53.4800346	
282358692	-2.2321359	53.4780701	
282359394	-2.2330576	53.4782447	
290428116	-2.2338850	53.4773095	
292093177	-2.2401028	53.4777123	The Old Monkey
294001443	-2.2451148	53.4794892	Manchester
299137737	-2.2428407	53.4823996	
299137889	-2.2430016	53.4821189	
299137895	-2.2424589	53.4820120	
299138004	-2.2426276	53.4817137	
299138358	-2.2395681	53.4810733	
299138360	-2.2402664	53.4812884	
299138490	-2.2412761	53.4815958	
299138976	-2.2400183	53.4815813	
299138978	-2.2405838	53.4817644	
299138979	-2.2406006	53.4817802	
306572057	-2.2480457	53.4777472	
306572058	-2.2478290	53.4776523	
306572059	-2.2483251	53.4767648	
306572060	-2.2485713	53.4768122	
306572519	-2.2484052	53.4775255	
306684671	-2.2312292	53.4779685	
306684672	-2.2313449	53.4780013	
306684674	-2.2314286	53.4780292	
306684677	-2.2314874	53.4780607	
306684678	-2.2315490	53.4781199	
306684682	-2.2316079	53.4783770	
306684683	-2.2317032	53.4785468	
306684686	-2.2319420	53.4787272	
306684695	-2.2323892	53.4788382	
306684698	-2.2320774	53.4786191	
306684700	-2.2318884	53.4784719	
306684703	-2.2318008	53.4783217	
306684705	-2.2317816	53.4782029	
306684707	-2.2316525	53.4779808	
306684710	-2.2315260	53.4779176	
306684711	-2.2313109	53.4778713	
306685735	-2.2321983	53.4789077	
307642173	-2.2316512	53.4778973	
307750258	-2.2331361	53.4816226	
307754321	-2.2296665	53.4815462	
307874852	-2.2450995	53.4785365	
307874853	-2.2449387	53.4784790	
307874854	-2.2449133	53.4785189	
307874856	-2.2440181	53.4782684	
307874857	-2.2439897	53.4781946	
307874858	-2.2439125	53.4782159	
307874859	-2.2432984	53.4785870	
307875145	-2.2359967	53.4809113	
307875148	-2.2368274	53.4803372	
307875149	-2.2364048	53.4801168	
307875150	-2.2355795	53.4806942	
307875463	-2.2374296	53.4808960	
307875464	-2.2371277	53.4808512	
307875465	-2.2367027	53.4808437	
307875467	-2.2363266	53.4809052	
307968585	-2.2322038	53.4819086	Crown & Anchor
307969165	-2.2319529	53.4811323	
307969166	-2.2328871	53.4808493	
307969167	-2.2341572	53.4809783	
307987239	-2.2365947	53.4780683	
308099746	-2.2303676	53.4825048	
308099749	-2.2320104	53.4817005	Williams Sandwich Bar
308115718	-2.2317272	53.4794455	
308128518	-2.2339421	53.4795818	The Waldorf
308128519	-2.2332353	53.4791781	Malmaison
308375645	-2.2349154	53.4836388	
308375651	-2.2326900	53.4818923	Hatters Hostel
308749181	-2.2439376	53.4779898	
308749182	-2.2440614	53.4781588	
308749183	-2.2443626	53.4783790	
308749184	-2.2446369	53.4784407	
308749185	-2.2450266	53.4784087	
308844918	-2.2432948	53.4784291	
309451656	-2.2398349	53.4778701	Grey Horse
309486796	-2.2393993	53.4774460	
310615723	-2.2391780	53.4826222	
310615736	-2.2382213	53.4830837	
310615748	-2.2374746	53.4829818	
310615793	-2.2375280	53.4829891	
310621083	-2.2316848	53.4821640	
310621091	-2.2324288	53.4822193	
310639402	-2.2324477	53.4789059	
310639406	-2.2322549	53.4789662	
314716576	-2.2431860	53.4795270	
324233374	-2.2500936	53.4818519	
324567882	-2.2432476	53.4790008	
324567883	-2.2435291	53.4788031	
324568774	-2.2488589	53.4781238	
324568775	-2.2481789	53.4780343	
324568776	-2.2483160	53.4779119	
324568836	-2.2492946	53.4781525	
324568839	-2.2482507	53.4778446	
324568840	-2.2489336	53.4781126	
324569440	-2.2474901	53.4779428	
324569441	-2.2467525	53.4778588	
324569442	-2.2469023	53.4774414	
324569443	-2.2475931	53.4777008	
324569477	-2.2454205	53.4776606	
324569478	-2.2443484	53.4774141	
324569479	-2.2452112	53.4767597	
324569480	-2.2456411	53.4769831	
324661012	-2.2486192	53.4794581	Caffè Nero
324661232	-2.2485632	53.4795441	Betfred
324661252	-2.2485310	53.4796065	Up & Running
324661296	-2.2481949	53.4797480	Starbucks
324663287	-2.2477305	53.4809182	Mekal News Ltd
324663448	-2.2477133	53.4809693	Rupert Hayes Hairdressing
324663550	-2.2476790	53.4810255	La Vina
324663761	-2.2476012	53.4811612	Wrap It Up
324663876	-2.2475450	53.4812474	Goldman Sterling
324664008	-2.2475097	53.4812958	Whitewall Gallerie
324664378	-2.2475640	53.4810013	Holland & Barrett
324664468	-2.2469459	53.4820870	Pret A Manger
324664666	-2.2468929	53.4821953	Castle Fine Art
324664772	-2.2467905	53.4823308	Subway
324665112	-2.2467529	53.4823983	Regis
324665188	-2.2467245	53.4824448	Caffè Nero
324665241	-2.2464687	53.4826374	Thomas William
324665358	-2.2464841	53.4827726	Edwards of Manchester
324665381	-2.2464349	53.4828443	Nicolas
324665545	-2.2464130	53.4828946	Hair 1 UK
324665947	-2.2463595	53.4829780	Intro
324666579	-2.2462589	53.4830537	Shuropody
324666695	-2.2461470	53.4831981	Wildings
324667583	-2.2461278	53.4832821	Flight Centre
324670166	-2.2466774	53.4833135	Cosmo World Buffet
324670668	-2.2466879	53.4831573	Trailfinders
324671114	-2.2474454	53.4832209	
324671115	-2.2465308	53.4830262	
324671296	-2.2467771	53.4830188	Slug and Lettuce
324671697	-2.2466986	53.4830822	
324671841	-2.2467980	53.4829591	Rileys
324672201	-2.2469032	53.4828352	La Tasca
324673474	-2.2470133	53.4826547	Café Rouge
324673692	-2.2471441	53.4824473	Las Iguanas
324674079	-2.2471825	53.4823642	Timpson
324674340	-2.2472354	53.4822768	Toni & Guy
324674749	-2.2473212	53.4821542	Bella Italia
324678099	-2.2477568	53.4815458	
324678919	-2.2479609	53.4821629	
324678921	-2.2474464	53.4820398	
324678924	-2.2477295	53.4815164	
324678927	-2.2483649	53.4816014	
324679577	-2.2478771	53.4813428	Cotswold Outdoor
324679885	-2.2479178	53.4812656	Sofa Workshop
324680205	-2.2479833	53.4811656	Forsyth Bros Ltd
324680663	-2.2480594	53.4810540	Ellis Brigham Mountain Sports
324681908	-2.2484397	53.4805334	The Lost Dene
324682510	-2.2482561	53.4804168	
324683753	-2.2495946	53.4805812	
324683754	-2.2485107	53.4804271	
324683755	-2.2485868	53.4802348	
324685631	-2.2487111	53.4797441	
330190707	-2.2466200	53.4778558	
330190708	-2.2462805	53.4778114	
330190709	-2.2464376	53.4773552	
330190710	-2.2467939	53.4774106	
331409737	-2.2447783	53.4818371	Santander
331410193	-2.2448694	53.4815950	
331410194	-2.2448869	53.4815474	Timpson
331410349	-2.2448964	53.4814924	
331410437	-2.2449157	53.4814366	Bosu
331410626	-2.2449400	53.4813639	Mr Thomas's Chop House
331410673	-2.2447473	53.4813154	
331410674	-2.2449859	53.4812245	Tommy Hilfiger
331410791	-2.2450877	53.4808867	First Taste
331411190	-2.2451113	53.4806978	The Co-operative Bank
331411462	-2.2451507	53.4806069	Optical Express
331411591	-2.2451569	53.4805227	The Tanning Shop
331412002	-2.2452403	53.4804375	Steam Packet House
331412037	-2.2452870	53.4803502	STA Travel
331412118	-2.2452535	53.4802939	Betfred
331412933	-2.2461055	53.4801630	
331412934	-2.2452228	53.4800134	
331413286	-2.2461335	53.4791918	The Slug and Lettuce
331413542	-2.2460399	53.4790725	
331414729	-2.2463400	53.4789490	Red's True Barbecue
331415032	-2.2475189	53.4789004	
331415033	-2.2464949	53.4787154	
331415035	-2.2466161	53.4783210	
331415036	-2.2476522	53.4784482	
331415447	-2.2461389	53.4777419	
331415448	-2.2456718	53.4776756	
331415449	-2.2460149	53.4772549	
331415450	-2.2463251	53.4771805	
331415980	-2.2478572	53.4779850	
331416145	-2.2482470	53.4781739	Studio
331479203	-2.2480637	53.4778152	
331479498	-2.2481645	53.4777827	
331480230	-2.2488837	53.4780663	
331480231	-2.2484130	53.4778866	
331480521	-2.2483097	53.4778466	
331481090	-2.2492168	53.4779900	
331481624	-2.2492635	53.4782626	
331482572	-2.2490182	53.4790349	
331482574	-2.2486494	53.4790079	
331482575	-2.2487146	53.4788095	
331482576	-2.2490909	53.4788505	
331482626	-2.2489422	53.4786124	
331482932	-2.2488267	53.4793632	
331482934	-2.2485199	53.4793117	
331482936	-2.2486058	53.4791262	
331482938	-2.2489408	53.4791772	
331483381	-2.2477553	53.4790573	The Venue
331483741	-2.2464066	53.4787460	
331483927	-2.2457800	53.4795500	
331483928	-2.2461063	53.4790983	
331483929	-2.2469898	53.4792283	
331484153	-2.2473279	53.4798635	
331484154	-2.2473966	53.4796690	
331484155	-2.2470018	53.4796136	
331484157	-2.2469373	53.4798112	
331484330	-2.2470190	53.4791564	
331484581	-2.2462825	53.4798446	
331484683	-2.2477467	53.4798644	
331484695	-2.2463347	53.4796866	
331484796	-2.2477284	53.4801183	
331484797	-2.2463624	53.4799248	
331484798	-2.2464152	53.4797869	
331484799	-2.2477792	53.4799744	
331485036	-2.2459153	53.4797145	Bridgfords Lettings
331485460	-2.2481535	53.4798374	
331485671	-2.2459639	53.4795531	Lawrence Copeland
331485776	-2.2461613	53.4795735	Shirley's Sandwiches
331485807	-2.2463673	53.4796041	Greggs
331485830	-2.2466076	53.4796246	Jordan's
331485985	-2.2469337	53.4789708	Boutique
331486810	-2.2478373	53.4806640	
331487431	-2.2497684	53.4806352	
331487432	-2.2498791	53.4802997	
331487433	-2.2494324	53.4802294	
331487434	-2.2492339	53.4801990	
331487435	-2.2484680	53.4800918	
334389996	-2.2477972	53.4779776	
334389997	-2.2478565	53.4777958	
334390023	-2.2479302	53.4779926	
334390024	-2.2480057	53.4778488	
334391962	-2.2371341	53.4813301	
334391963	-2.2373101	53.4810812	
334391964	-2.2374581	53.4808382	
334392120	-2.2369814	53.4812390	
334392184	-2.2378073	53.4809697	
334392186	-2.2367933	53.4804489	
334392187	-2.2369818	53.4804849	
334392188	-2.2373204	53.4805903	
334392189	-2.2374230	53.4806415	
334392190	-2.2375556	53.4807206	
334392191	-2.2377403	53.4808778	
334393075	-2.2386180	53.4817444	
334393077	-2.2382720	53.4815402	
334393078	-2.2386429	53.4812947	
334393079	-2.2389243	53.4814285	
334393118	-2.2390734	53.4809138	
334393140	-2.2386712	53.4812836	
334393143	-2.2383728	53.4817580	
334393161	-2.2402269	53.4806220	
334393174	-2.2394368	53.4810610	
334393175	-2.2391875	53.4809353	
334393176	-2.2398171	53.4805206	
334393177	-2.2400446	53.4806353	
334497448	-2.2477310	53.4836016	
334497449	-2.2474816	53.4834595	
334497450	-2.2480218	53.4831552	
334497451	-2.2481736	53.4833015	
334497609	-2.2440230	53.4842450	
334497610	-2.2431792	53.4840209	
334497611	-2.2437508	53.4831830	
334497612	-2.2447035	53.4833668	
334641432	-2.2512124	53.4807778	
334641722	-2.2498439	53.4800489	
334647490	-2.2470372	53.4783093	
334647491	-2.2466536	53.4782606	
334647492	-2.2467367	53.4780276	
334647493	-2.2471230	53.4780691	
334647552	-2.2467823	53.4780611	Double Take Studios
334647628	-2.2475911	53.4783660	
334647629	-2.2471129	53.4781022	
334647630	-2.2476534	53.4781688	
334647762	-2.2476452	53.4781145	
334648140	-2.2481509	53.4784342	
334648141	-2.2476604	53.4781483	
334648142	-2.2482274	53.4782163	
334648200	-2.2484578	53.4784765	
334648201	-2.2485352	53.4782582	
334648226	-2.2492198	53.4785715	
334648227	-2.2487907	53.4785129	
334648228	-2.2488289	53.4784084	
334648229	-2.2486089	53.4783799	
334648230	-2.2486337	53.4782953	
334648231	-2.2493700	53.4783600	
334648232	-2.2485707	53.4784844	
334648595	-2.2483855	53.4785491	
334648600	-2.2482751	53.4788588	
334648731	-2.2478509	53.4786030	
334648732	-2.2476376	53.4785774	
334648733	-2.2476776	53.4784593	
334648734	-2.2478908	53.4784848	
334648771	-2.2482716	53.4787317	
334648772	-2.2478719	53.4786762	
334648773	-2.2479440	53.4784920	
334648774	-2.2483438	53.4785474	
334649018	-2.2481948	53.4789431	
334649019	-2.2477346	53.4788847	
334649020	-2.2478039	53.4786912	
334649021	-2.2482641	53.4787496	
334649070	-2.2470956	53.4778747	
335598932	-2.2431024	53.4783630	
335599055	-2.2433069	53.4780136	
335599056	-2.2427914	53.4783891	
335599057	-2.2425880	53.4784479	
335599058	-2.2431095	53.4780759	
336190033	-2.2484753	53.4815545	
336190079	-2.2329777	53.4824880	
343617803	-2.2378723	53.4817688	
343617976	-2.2371962	53.4816220	
343617978	-2.2370504	53.4818294	
343618331	-2.2371672	53.4834029	
343618332	-2.2373118	53.4830895	
343618333	-2.2362938	53.4829231	
343618334	-2.2361610	53.4832109	
343618335	-2.2358738	53.4831640	
343618336	-2.2357347	53.4834655	
343618337	-2.2363732	53.4835698	
343618399	-2.2322459	53.4835322	
343618401	-2.2312679	53.4831607	
343618403	-2.2322197	53.4824697	
343618405	-2.2330885	53.4829313	
343618950	-2.2383102	53.4834640	
343618951	-2.2378321	53.4833815	
343618952	-2.2379539	53.4831319	
343618953	-2.2384320	53.4832145	
343831157	-2.2369189	53.4824438	
343831159	-2.2364496	53.4820921	
343831160	-2.2367330	53.4819181	
343831162	-2.2374426	53.4821350	
343838101	-2.2434043	53.4780599	
343839797	-2.2438829	53.4777889	
343843017	-2.2360626	53.4799642	
343843020	-2.2359096	53.4799175	
343843021	-2.2356233	53.4797334	
343843023	-2.2351002	53.4793386	
343843025	-2.2344248	53.4788303	
343843026	-2.2342242	53.4786781	
343843962	-2.2348271	53.4791350	
343845031	-2.2341264	53.4785508	
343845033	-2.2342942	53.4786797	
343845034	-2.2345441	53.4788695	
343845043	-2.2357117	53.4797614	
343845044	-2.2360886	53.4799340	
343845046	-2.2364656	53.4799847	
343845048	-2.2365848	53.4800248	
343845053	-2.2374548	53.4804715	
343845055	-2.2382875	53.4809308	
343845056	-2.2387887	53.4809706	
343849221	-2.2393597	53.4821672	
343849222	-2.2391590	53.4820674	
343849223	-2.2386228	53.4819168	Market Street
343849497	-2.2389966	53.4831345	
343849499	-2.2394112	53.4822461	
343850578	-2.2388283	53.4810364	
343850579	-2.2386061	53.4811937	
343850580	-2.2383588	53.4813541	
343850581	-2.2381826	53.4814845	
343850582	-2.2381659	53.4815379	
343850583	-2.2381797	53.4816278	
343850584	-2.2382485	53.4816992	
343851063	-2.2381429	53.4809014	
343852315	-2.2389445	53.4809559	
343852829	-2.2388743	53.4809406	
343853121	-2.2389801	53.4808007	
343853122	-2.2384094	53.4805573	
